1:27:25 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA150423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:27:25 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA150423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:33:32 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:33:50 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:33:55 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:33:55 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:34:21 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
1:34:27 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
1:35:20 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA150423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:35:20 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA150423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
